id,name,latitude,longitude,dpcapacity
2,Buckingham Fountain,41.8764,-87.6203,27
3,Shedd Aquarium,41.8672,-87.6154,55
4,Burnham Harbor,41.8563,-87.6133,23
5,State St & Harrison St,41.8741,-87.6277,23
6,Dusable Harbor,41.885,-87.6128,39
7,Field Blvd & South Water St,41.8863,-87.6175,19
9,Leavitt St & Archer Ave,41.8288,-87.6806,19
11,Jeffery Blvd & 71st St,41.7666,-87.5765,11
12,South Shore Dr & 71st St,41.7664,-87.5657,15
13,Wilton Ave & Diversey Pkwy,41.9324,-87.6527,27
14,Morgan St & 18th St,41.8581,-87.6511,15
15,Racine Ave & 18th St,41.8582,-87.6565,15
16,Paulina Ave & North Ave,41.9103,-87.6701,15
17,Honore St & Division St,41.9031,-87.6739,23
18,Wacker Dr & Washington St,41.8831,-87.6373,19
19,Loomis St & Taylor St (*),41.8694,-87.661,16
20,Sheffield Ave & Kingsbury St,41.9105,-87.6531,15
21,Aberdeen St & Jackson Blvd,41.8777,-87.6548,15
22,May St & Taylor St,41.8695,-87.6555,15
23,Orleans St & Elm St (*),41.9029,-87.6377,16
24,Fairbanks Ct & Grand Ave,41.8919,-87.6206,15
25,Michigan Ave & Pearson St,41.8977,-87.6235,23
26,McClurg Ct & Illinois St,41.8904,-87.6175,31
27,Larrabee St & North Ave,41.9102,-87.6435,19
28,Larrabee St & Menomonee St,41.9147,-87.6433,15
29,Noble St & Milwaukee Ave,41.9007,-87.6626,15
30,Ashland Ave & Augusta Blvd,41.8996,-87.6677,15
31,Franklin St & Chicago Ave,41.8968,-87.6356,23
32,Racine Ave & Congress Pkwy,41.8746,-87.657,19
33,State St & Van Buren St,41.8772,-87.6278,27
34,Cannon Dr & Fullerton Ave,41.9268,-87.6344,15
35,Streeter Dr & Grand Ave,41.8923,-87.612,47
36,Franklin St & Jackson Blvd,41.8777,-87.6353,39
37,Dearborn St & Adams St,41.8794,-87.6298,19
38,Clark St & Lake St,41.886,-87.6309,27
39,Wabash Ave & Adams St,41.8795,-87.6257,23
40,LaSalle St & Adams St,41.8793,-87.632,15
41,Federal St & Polk St,41.8721,-87.6295,19
42,Wabash Ave & Cermak Rd,41.8526,-87.6265,11
43,Michigan Ave & Washington St,41.8839,-87.6246,43
44,State St & Randolph St,41.8847,-87.6277,27
45,Michigan Ave & Congress Pkwy,41.8762,-87.6244,15
46,Wells St & Walton St,41.8999,-87.6344,19
47,State St & Kinzie St,41.8892,-87.6278,31
48,Larrabee St & Kingsbury St,41.8978,-87.6429,39
49,Dearborn St & Monroe St,41.8813,-87.6295,39
50,Clark St & Congress Pkwy,41.8759,-87.6306,27
51,Clark St & Randolph St,41.8846,-87.6319,39
52,Michigan Ave & Lake St,41.886,-87.6241,31
53,LaSalle (Wells) St & Huron St,41.8949,-87.6323,27
54,Ogden Ave & Chicago Ave,41.8964,-87.6541,19
55,Halsted St & Roosevelt Rd,41.8673,-87.6486,23
56,Desplaines St & Kinzie St,41.8887,-87.6444,27
57,Clinton St & Roosevelt Rd,41.8671,-87.6411,15
58,Marshfield Ave & Cortland St,41.916,-87.6689,23
59,Wabash Ave & Roosevelt Rd,41.8672,-87.626,23
60,Dayton St & North Ave,41.9106,-87.6494,19
61,Wood St & Milwaukee Ave,41.9077,-87.6726,19
62,McCormick Place,41.8514,-87.6188,27
66,Clinton St & Lake St,41.8856,-87.6418,23
67,Sheffield Ave & Fullerton Ave,41.9256,-87.6537,19
68,Clinton St & Tilden St,41.8759,-87.6408,23
69,Damen Ave & Pierce Ave,41.9094,-87.6777,19
71,Morgan St & Lake St,41.8855,-87.6523,23
72,Wabash Ave & 16th St,41.8604,-87.6258,39
73,Jefferson St & Monroe St,41.8804,-87.6427,19
74,Kingsbury St & Erie St,41.8939,-87.6417,23
75,Canal St & Jackson Blvd,41.8772,-87.6394,31
76,Lake Shore Dr & Monroe St,41.881,-87.6167,39
77,Clinton St & Madison St,41.8822,-87.6411,31
80,Aberdeen St & Monroe St,41.8804,-87.6555,19
81,Daley Center Plaza,41.8842,-87.6296,39
84,Milwaukee Ave & Grand Ave,41.8916,-87.6484,19
85,Michigan Ave & Oak St,41.901,-87.6238,23
86,Eckhart Park,41.8964,-87.661,19
87,Racine Ave & Fullerton Ave,41.9256,-87.6584,19
88,Racine Ave & Randolph St,41.8841,-87.6569,19
89,Financial Pl & Congress Pkwy,41.875,-87.6331,31
90,Millennium Park,41.881,-87.6241,47
91,Clinton St & Washington Blvd,41.8834,-87.6412,31
92,Carpenter St & Huron St,41.8946,-87.6534,19
93,Sheffield Ave & Willow St,41.9137,-87.6529,15
94,Clark St & Armitage Ave,41.9183,-87.6363,31
95,Stony Island Ave & 64th St,41.7787,-87.5868,15
96,Desplaines St & Randolph St,41.8846,-87.6446,23
97,Field Museum,41.8653,-87.6179,55
98,LaSalle St & Washington St,41.8827,-87.6325,15
99,Lake Shore Dr & Ohio St,41.8926,-87.6145,19
100,Orleans St & Merchandise Mart Plaza,41.8882,-87.6364,35
101,63rd St Beach,41.781,-87.5761,23
102,Stony Island Ave & 67th St,41.7735,-87.5853,11
103,Clinton St & Polk St (*),41.8715,-87.6409,16
106,State St & Pearson St,41.8974,-87.6287,27
107,Desplaines St & Jackson Blvd,41.8783,-87.6439,27
108,Halsted St & Polk St,41.8718,-87.6466,19
109,900 W Harrison St,41.8748,-87.6498,19
110,Dearborn St & Erie St,41.894,-87.6293,23
111,Sedgwick St & Huron St,41.8947,-87.6384,19
112,Green St & Randolph St,41.8837,-87.6487,15
113,Bissell St & Armitage Ave,41.9184,-87.6522,15
114,Sheffield Ave & Waveland Ave,41.9494,-87.6545,27
115,Sheffield Ave & Wellington Ave,41.9363,-87.6527,23
116,Western Ave & Winnebago Ave,41.9155,-87.687,15
117,Wilton Ave & Belmont Ave,41.9402,-87.653,23
118,Sedgwick St & North Ave,41.9114,-87.6387,19
119,Ashland Ave & Lake St,41.8854,-87.6673,19
120,Wentworth Ave & Archer Ave,41.8536,-87.6319,23
121,Blackstone Ave & Hyde Park Blvd,41.8026,-87.5904,19
122,Ogden Ave & Congress Pkwy,41.875,-87.6733,15
123,California Ave & Milwaukee Ave,41.9227,-87.6972,15
124,Damen Ave & Cullerton St,41.855,-87.6757,15
125,Rush St & Hubbard St,41.8902,-87.6262,23
126,Clark St & North Ave,41.912,-87.6319,15
127,Lincoln Ave & Fullerton Ave,41.9259,-87.6493,15
128,Damen Ave & Chicago Ave,41.8958,-87.6772,19
129,Blue Island Ave & 18th St,41.8576,-87.6615,15
